h	r	t
4713090000000	0	530301
4710200000000	0	110105
4710940000000	0	110405
4719580000000	0	130305
20451066	0	500103
27000639641	0	110112
4710570000000	0	110507
4710530000000	0	110404
4716380000000	0	500403
4714050000000	0	120203
4710140000000	0	100208
719860000000	0	100512
4710770000000	0	100303
4711260000000	0	110119
20540791	0	730804
4713810000000	0	120108
4713760000000	0	120203
4713920000000	0	731302
20514723	0	510116
4711180000000	0	560409
4711660000000	0	110406
4710220000000	0	530116
4714070000000	0	730105
4712300000000	0	730102
20489250	0	730802
2240010000000	0	510407
20217280	0	520121
20529536	0	520133
4717230000000	0	510302
20419974	0	730312
20546236	0	520473
4718650000000	0	500705
4718180000000	0	501001
4718060000000	0	520202
4710930000000	0	110114
4901420000000	0	500307
4710590000000	0	130401
4712850000000	0	100443
4979230000000	0	300105
4711860000000	0	110123
4716090000000	0	760564
4713990000000	0	130315
9300640000000	0	110508
20544522	0	130206
37000441809	0	100312
37000337270	0	100205
4712500000000	0	110201
4712170000000	0	100303
4710800000000	0	100205
4902760000000	0	100102
37000445111	0	100312
37000440192	0	100312
37000304593	0	100205
37000329169	0	100312
9556200000000	0	100111
4712290000000	0	100322
4710850000000	0	100305
4713120000000	0	100443
4713150000000	0	100301
4717570000000	0	500305
40000015314	0	100102
4713580000000	0	500903
20570125	0	711702
9415010000000	0	100401
4808590000000	0	560402
22972004664	0	760593
4710990000000	0	110111
4710230000000	0	100510
4711000000000	0	110117
4712330000000	0	110333
4710600000000	0	100301
4710380000000	0	530110
4710150000000	0	100505
4901870000000	0	530110
4714390000000	0	500301
8801020000000	0	100217
20507183	0	320202
20507138	0	320201
20513337	0	760581
4715830000000	0	520452
4713790000000	0	720136
20538538	0	760581
20568603	0	300423
4710420000000	0	100508
9556120000000	0	100215
4710960000000	0	110112
4901550000000	0	100106
4714040000000	0	520472
4712550000000	0	760520
4901770000000	0	760235
4713320000000	0	530206
4711080000000	0	130206
4710780000000	0	100601
4711700000000	0	760305
20494346	0	760618
8999120000000	0	520464
4712760000000	0	760109
20557003	0	130206
8852050000000	0	100212
4713540000000	0	520433
4715060000000	0	520472
84501846329	0	100217
4711090000000	0	760538
4713390000000	0	520227
20529529	0	520133
4712060000000	0	520414
4902700000000	0	712901
4711360000000	0	731302
4713080000000	0	520121
4716270000000	0	760587
4025700000000	0	100102
20546786	0	320402
20522650	0	320501
80135616	0	100102
20493776	0	760520
4903110000000	0	530101
34000231508	0	100102
4714770000000	0	760203
4710840000000	0	100407
20497484	0	760524
4714260000000	0	780102
4712790000000	0	110404
4710450000000	0	130315
20553418	0	715001
4710870000000	0	110217
4710280000000	0	100205
20456641	0	720205
4712700000000	0	110409
20403645	0	720101
4903340000000	0	720303
8000380000000	0	100205
4716330000000	0	760117
4712150000000	0	130316
4717580000000	0	760117
2100230000000	0	760105
723125000000	0	100112
4711110000000	0	300423
20560683	0	760302
4713650000000	0	501134
20414566	0	760402
4717270000000	0	713102
4710860000000	0	120107
4711210000000	0	120112
4711780000000	0	300301
4716760000000	0	120107
4719170000000	0	320201
4712450000000	0	120109
4719850000000	0	712901
4710660000000	0	530503
4713330000000	0	110217
20521240	0	710501
4716780000000	0	110109
37000329206	0	100205
25700010326	0	500311
4715370000000	0	740807
20518240	0	540213
8006330000000	0	510507
20565794	0	711321
20518271	0	540205
20568764	0	751101
8002110000000	0	530114
20568733	0	751101
4718150000000	0	510312
4901620000000	0	530104
4712960000000	0	100418
4711290000000	0	530104
15700072776	0	100405
20535414	0	110401
4716860000000	0	530108
8000050000000	0	110409
4901130000000	0	520105
4976790000000	0	510313
4716960000000	0	500302
8887290000000	0	100405
4984320000000	0	510539
15700052013	0	100405
20422325	0	500901
4712220000000	0	711305
4715420000000	0	760219
4903050000000	0	100440
2230130000000	0	520414
4540120000000	0	100102
4714230000000	0	510417
3426470000000	0	540103
9310030000000	0	100205
4715290000000	0	540204
4895060000000	0	100201
8711780000000	0	540117
8993190000000	0	530101
4710980000000	0	530108
4712020000000	0	100201
4713750000000	0	100324
20513412	0	760586
20521370	0	760587
20456498	0	760912
20548971	0	730718
4712360000000	0	730716
4715350000000	0	110105
4711380000000	0	100301
4713250000000	0	500501
20529505	0	520314
4719690000000	0	510201
4712810000000	0	780510
4713930000000	0	100604
4531910000000	0	130303
4902430000000	0	560201
4712400000000	0	100205
20392048	0	540203
9322920000000	0	100113
4972050000000	0	130306
2280160000000	0	470103
20453107	0	500501
4710330000000	0	530106
4713140000000	0	100106
4903320000000	0	100104
93362979	0	500804
93370868	0	500804
4902770000000	0	100110
93432641	0	500804
34000338108	0	100102
93432634	0	500804
93362993	0	500804
4944770000000	0	510428
20449902	0	320402
20544577	0	540103
20549367	0	320403
20513191	0	760112
20526832	0	320403
20494537	0	760548
4892000000000	0	100205
4710390000000	0	110122
20494544	0	760548
20565886	0	760164
20103088	0	540104
20434809	0	510124
20499662	0	320201
3215690000000	0	100111
5010170000000	0	100111
20499679	0	320202
20562571	0	501005
20563745	0	320402
5011560000000	0	100104
4711120000000	0	100301
4002590000000	0	100104
20517601	0	510302
4716830000000	0	500106
4716010000000	0	120101
27000666647	0	110109
9300610000000	0	100401
51685000038	0	110120
9300680000000	0	100104
40000915409	0	100102
4718500000000	0	120109
4713070000000	0	520309
9310010000000	0	110126
4901990000000	0	500326
4400000000000	0	540204
7614500000000	0	100102
4714800000000	0	760119
4710340000000	0	130206
20554682	0	760810
20415723	0	130206
78895941593	0	110136
9556180000000	0	100210
4719430000000	0	100516
20529154	0	760524
4901110000000	0	510539
4942450000000	0	760202
4715610000000	0	530114
4713450000000	0	520437
4891260000000	0	712902
41333213019	0	712902
9556030000000	0	530105
20392987	0	500901
4711550000000	0	560204
20522667	0	320501
20373825	0	540213
4719130000000	0	500709
4901690000000	0	500561
8003730000000	0	520308
4714660000000	0	520309
613033000000	0	500538
4712320000000	0	560504
4714900000000	0	730303
76150215281	0	110218
8721900000000	0	130109
7310180000000	0	530105
4902180000000	0	130110
4901200000000	0	100403
300081000000	0	560402
15000021153	0	560401
40000015321	0	100102
47400115002	0	300801
9310020000000	0	500804
93457552	0	500804
4901490000000	0	730301
4715010000000	0	761101
4718690000000	0	761106
34000338207	0	100102
87108019	0	100108
34000338306	0	100102
4103040000000	0	560102
8888240000000	0	100407
40000142386	0	100102
20568696	0	750106
9310060000000	0	100419
7610400000000	0	100102
20565763	0	510539
4711020000000	0	130106
9310160000000	0	110409
4711680000000	0	100203
4956040000000	0	100205
4718760000000	0	760522
31200440044	0	100503
20467197	0	570308
4719780000000	0	110505
9322940000000	0	100112
79763251141	0	110401
4719470000000	0	110508
15000762322	0	560321
70411073412	0	100308
4715750000000	0	500705
20563264	0	560517
4719110000000	0	760163
2130010000000	0	560517
20332433	0	130206
20341992	0	130205
4715550000000	0	100505
4714570000000	0	130306
4901090000000	0	100103
4719590000000	0	130317
40000757320	0	100102
4891240000000	0	100113
20571870	0	560402
8000500000000	0	100102
20556372	0	501002
4711840000000	0	100418
4800100000000	0	590301
8992740000000	0	100106
8934610000000	0	100212
37000442127	0	100312
4718530000000	0	760948
4714550000000	0	100205
4715530000000	0	760909
78895121254	0	110137
4714380000000	0	120105
4716700000000	0	110501
78895100822	0	110137
4714220000000	0	760503
4711810000000	0	130405
8850040000000	0	110711
603808000000	0	100614
20352837	0	320501
78895122237	0	110333
4711370000000	0	110507
4711920000000	0	100310
4716510000000	0	520446
4901600000000	0	510512
729042000000	0	510522
20307585	0	130206
4710750000000	0	110217
4064700000000	0	720318
51000135568	0	110508
4984820000000	0	712902
20513375	0	760587
4717920000000	0	760936
20515881	0	320201
20357405	0	320402
20508869	0	320402
20470340	0	320402
78895300024	0	110137
4711150000000	0	100416
80135906	0	100102
50000108190	0	100402
8852120000000	0	760626
4714130000000	0	100204
4712930000000	0	100110
4719230000000	0	520203
4714710000000	0	712901
20565381	0	300104
4891230000000	0	300801
39101050126	0	720510
2100040000000	0	760101
4719510000000	0	100414
4716790000000	0	100414
20301453	0	320402
20545062	0	320501
20461447	0	320402
4711220000000	0	110507
4531630000000	0	300424
41554676662	0	300604
4710260000000	0	300704
6917250000000	0	300716
9311810000000	0	300702
20123918	0	760623
20556129	0	760402
2100160000000	0	760530
4712610000000	0	760305
20505059	0	760537
20555924	0	731202
8007150000000	0	110109
2230110000000	0	520201
8999980000000	0	520402
4711800000000	0	560301
4719870000000	0	110333
20543310	0	560323
22000147189	0	100101
4713570000000	0	100304
35496006106	0	720502
79763251158	0	110401
4711100000000	0	530203
76277105694	0	110810
8850990000000	0	110715
4712480000000	0	100212
4714480000000	0	110138
52500058234	0	110129
9311830000000	0	110127
51000126979	0	110508
4710400000000	0	590311
8888830000000	0	300801
20561406	0	751101
9414860000000	0	520328
3960100000000	0	520425
20550684	0	501001
2230120000000	0	520205
4945680000000	0	520230
20561390	0	751101
20414818	0	740105
4712720000000	0	530104
4712460000000	0	740106
4714580000000	0	321302
20564544	0	740805
20565619	0	320202
4718590000000	0	760687
20546441	0	320201
48001271654	0	110513
4715500000000	0	120101
4712040000000	0	530110
4711310000000	0	100319
20535407	0	110401
70450031428	0	100306
4712900000000	0	510418
20217297	0	520120
20406349	0	130205
4713720000000	0	130315
8999000000000	0	712901
4717100000000	0	110509
4965740000000	0	730708
4713400000000	0	110217
20485238	0	730708
4711900000000	0	730301
20485290	0	731106
4717010000000	0	712201
4714010000000	0	720115
20364557	0	520472
20545840	0	510110
4978360000000	0	110117
4714910000000	0	760750
20072278	0	300208
8801160000000	0	100311
4711200000000	0	100323
4991200000000	0	510501
9555040000000	0	100403
9310050000000	0	130110
2250030000000	0	500319
20238919	0	500604
20514235	0	110406
4717540000000	0	731302
41419761748	0	100210
47106710	0	130101
79763251226	0	110404
29000070301	0	100210
9555010000000	0	530301
4973540000000	0	100205
4030390000000	0	100215
20572037	0	130204
4710950000000	0	100515
4713000000000	0	510428
4711330000000	0	100303
74570703050	0	120302
8850330000000	0	100201
20453138	0	500901
8801060000000	0	100212
20559977	0	530407
4713020000000	0	100205
87108026	0	100108
20562410	0	751203
75272068256	0	520102
4715190000000	0	100212
20393038	0	501003
4712820000000	0	530114
4053800000000	0	560103
8888090000000	0	100418
4902780000000	0	100205
47100312	0	130304
51131763364	0	500542
4973270000000	0	520221
20553272	0	712102
4718540000000	0	712102
70501511107	0	300713
20431693	0	500302
4713200000000	0	520503
48001271326	0	110513
4711870000000	0	740306
4005810000000	0	300716
6922310000000	0	520510
9556470000000	0	100414
4953210000000	0	110408
4719900000000	0	720515
8851020000000	0	100205
4716820000000	0	520457
20435912	0	760113
4718280000000	0	720507
4891080000000	0	100408
4714510000000	0	300301
76150430530	0	110218
20515478	0	500509
20487546	0	501003
73102364547	0	720507
9300700000000	0	720515
8801040000000	0	100402
4716190000000	0	130309
4713840000000	0	520425
22000147165	0	100101
20559915	0	760584
22000167613	0	100101
4711490000000	0	500305
9789580000000	0	760155
9789570000000	0	760155
20543884	0	500501
20564339	0	730602
7038510000000	0	530104
34000792405	0	100102
20566159	0	720210
20537319	0	720210
56128439314	0	110108
20565817	0	760146
4716540000000	0	120106
6291000000000	0	100201
9556290000000	0	100205
4017100000000	0	100205
34000101092	0	100102
4717770000000	0	100310
20570972	0	130317
9557290000000	0	100306
28400015547	0	100217
20568993	0	760132
4712540000000	0	520133
20505127	0	540209
76277108893	0	110510
20553722	0	760625
40000915027	0	100102
4950590000000	0	510314
4946870000000	0	510325
4712620000000	0	500306
20246013	0	130101
20513184	0	760654
20513139	0	760634
4713490000000	0	500805
4714950000000	0	100509
20548032	0	540206
4717660000000	0	100311
20555399	0	712201
4712130000000	0	100416
6921080000000	0	760520
4716450000000	0	760205
4902740000000	0	100319
22000147110	0	100101
4719370000000	0	110138
8998290000000	0	100506
4903330000000	0	100217
47106123	0	100108
4715400000000	0	320202
4711160000000	0	130206
78895770025	0	110122
20423957	0	520503
70501028001	0	530116
4717610000000	0	760135
20123932	0	760686
41554628678	0	300604
20246068	0	130206
20062484	0	760623
4716430000000	0	100508
71924248137	0	720507
20307875	0	720507
4978090000000	0	100111
4718720000000	0	730301
8007550000000	0	110114
20498573	0	130206
51000036872	0	110508
4008460000000	0	530228
4933780000000	0	500707
4979910000000	0	500302
51325112527	0	100312
20521066	0	500707
5741210000000	0	510539
20566579	0	320403
78895760026	0	110136
26333009824	0	500806
8886300000000	0	100414
26333009619	0	500806
4015400000000	0	530103
25700010319	0	500311
20548933	0	730718
4711250000000	0	500301
4891460000000	0	100102
3061370000000	0	300422
5000170000000	0	530110
20072414	0	300112
4711960000000	0	560404
4712650000000	0	560335
4713630000000	0	560335
20364588	0	520123
4715680000000	0	500521
20302863	0	520505
4716520000000	0	530104
41554522129	0	300105
20517984	0	540206
84501106614	0	100215
20494636	0	760132
20445973	0	321305
20560126	0	130206
648636000000	0	110401
4715160000000	0	120107
8888480000000	0	100407
44738209519	0	110701
8801050000000	0	530408
4717680000000	0	130309
8888810000000	0	100325
8888300000000	0	100414
4711750000000	0	110516
7501060000000	0	300704
8851990000000	0	510101
49432237	0	300701
4714740000000	0	590521
8991000000000	0	100111
4712190000000	0	710604
20493691	0	760214
5998710000000	0	100102
4906030000000	0	100106
20405663	0	500902
20550363	0	720131
4909980000000	0	470103
8888220000000	0	100407
50000108169	0	100402
4716620000000	0	100311
89782016546	0	100205
20562922	0	510428
7802610000000	0	100201
8851730000000	0	100217
20533724	0	321305
73390000516	0	100108
22000121509	0	100101
4718030000000	0	760548
20565299	0	760208
65300008354	0	300610
4903720000000	0	720307
9310120000000	0	720307
20009199	0	501102
8004360000000	0	540112
76174841398	0	730105
20492434	0	510110
20359973	0	760405
20301101	0	730312
4970070000000	0	760203
20564933	0	730715
20561505	0	751202
20561482	0	751202
47107151	0	100113
65300011064	0	300709
4710350000000	0	300301
20562939	0	510539
56100412861	0	530403
719503000000	0	530408
4027800000000	0	300802
20553746	0	760625
70501013304	0	530117
8851820000000	0	530101
20336936	0	500102
20570798	0	540201
9300620000000	0	300702
20525187	0	130201
4711510000000	0	100301
20570866	0	130317
4712470000000	0	100217
4711340000000	0	530205
8411660000000	0	530601
20562601	0	760302
31200441058	0	100301
20392437	0	530205
20566388	0	751202
20549404	0	510113
7610700000000	0	100108
78895423037	0	110117
4711530000000	0	560335
41554690026	0	300604
4987240000000	0	300716
20571030	0	130317
4711600000000	0	100301
4964180000000	0	110507
20000102825	0	110505
20493714	0	760512
20000102818	0	110505
4902870000000	0	760505
4718750000000	0	130108
8802200000000	0	760618
4970770000000	0	500811
26333006441	0	500806
4528690000000	0	100102
8997880000000	0	100111
4901630000000	0	100103
20493752	0	760110
20532475	0	760503
20347987	0	320205
44300067783	0	110136
20542924	0	740204
20568641	0	750101
4715330000000	0	780101
9418780000000	0	560403
8635012177	0	100503
4711910000000	0	100516
4714680000000	0	120103
37000440635	0	100109
20571306	0	140803
4713420000000	0	590318
4067800000000	0	100516
47400245105	0	300802
47400247307	0	300802
4020400000000	0	100103
31200441157	0	100301
4719040000000	0	711701
8991380000000	0	300422
9044400000000	0	100105
70501856291	0	300709
20557386	0	320501
20546601	0	320402
20541125	0	320402
76828000799	0	530114
4716150000000	0	110138
20000112794	0	110505
76828000751	0	530114
4902390000000	0	110204
4903040000000	0	120104
4718560000000	0	530110
4713780000000	0	100505
4712830000000	0	500318
40000757313	0	100102
20560065	0	510512
20560027	0	510428
20560058	0	510512
84501293529	0	100201
84501238520	0	100201
9300600000000	0	500803
20570569	0	751101
20525262	0	500901
20494483	0	760406
5018360000000	0	100419
4987140000000	0	590531
7614200000000	0	110511
20555351	0	712201
9556400000000	0	100205
4901640000000	0	100102
9310480000000	0	100102
20514174	0	500901
84501297329	0	100201
4009990000000	0	760917
20433895	0	710803
20494988	0	540606
15000761561	0	560327
4718860000000	0	530114
70450020873	0	100301
4718300000000	0	100208
4719540000000	0	110504
41554618587	0	300608
9310080000000	0	110138
74603003287	0	110401
4711430000000	0	300713
300087000000	0	560402
20562953	0	500903
8410320000000	0	110114
4904140000000	0	530209
40508383038	0	760702
640700000000	0	110115
4714330000000	0	720501
4711060000000	0	110115
20513153	0	760634
20545826	0	760196
20513146	0	760634
79191001226	0	720507
20560096	0	130206
6001240000000	0	100503
40508383045	0	760702
81824201262	0	110509
4711980000000	0	300414
20519575	0	320104
8716200000000	0	560401
4710510000000	0	560334
4715080000000	0	510412
8635099680	0	100210
310742000000	0	300716
10742201412	0	300716
20554705	0	760702
8886000000000	0	100106
4901070000000	0	100106
4715480000000	0	300106
20560706	0	760302
20548438	0	712701
4711970000000	0	100418
89782010797	0	100202
89782010803	0	100202
20570880	0	130317
76277108947	0	110810
9556170000000	0	100419
76277109203	0	110810
89782012029	0	100205
20568832	0	760932
20568818	0	760923
4715820000000	0	110332
8710280000000	0	100604
20537548	0	720135
41554628654	0	300604
4987210000000	0	300422
4715660000000	0	510201
20568566	0	710301
20565039	0	710502
20570101	0	711502
4899340000000	0	530114
4977460000000	0	560102
4712940000000	0	520503
4718930000000	0	300611
611565000000	0	300701
20454487	0	300304
4715810000000	0	760151
4800360000000	0	100419
4717670000000	0	520133
2240060000000	0	510304
37000300441	0	530112
20432911	0	500518
11111893498	0	530404
20550394	0	720131
4718970000000	0	100205
20072100	0	300201
4710240000000	0	300705
51000024237	0	110508
31200440075	0	100503
20565565	0	760702
20571009	0	130317
20524845	0	760524
4713770000000	0	760602
4711240000000	0	110405
4713610000000	0	100205
4537720000000	0	300604
51131760202	0	500542
4953920000000	0	100110
20517618	0	510302
20559366	0	510539
84501561321	0	100201
20545987	0	321305
20445980	0	321305
8801690000000	0	100311
80050278	0	100102
20519650	0	321308
20543792	0	321302
4901650000000	0	100111
19200020480	0	530212
5000400000000	0	100205
78895121247	0	110137
4713590000000	0	110217
4716560000000	0	760904
20571078	0	130317
20091477	0	760214
4717530000000	0	760643
20373801	0	540209
40508383090	0	760702
40508383083	0	760702
5411050000000	0	500319
7622200000000	0	100102
4977560000000	0	760583
20229733	0	760631
20529338	0	760584
4718410000000	0	780101
4902560000000	0	130310
93447706	0	500804
93362986	0	500804
93447690	0	500804
93457545	0	500804
4719600000000	0	500509
70501060902	0	300712
4713940000000	0	510119
4987130000000	0	560113
20566074	0	760164
4715230000000	0	720501
39101046105	0	720504
20513368	0	760587
20510169	0	760402
22000119599	0	100101
20530679	0	760632
41143024607	0	100302
4000500000000	0	130109
84501278526	0	100201
20392444	0	530205
50000108176	0	100402
4716670000000	0	500608
20571894	0	560402
79763251134	0	110404
4718310000000	0	760659
41333116013	0	712902
78895730074	0	110122
4971920000000	0	110404
4978070000000	0	110404
4902170000000	0	110404
20087357	0	760540
20087371	0	760540
20087388	0	760540
4711460000000	0	110816
20569037	0	710704
20543785	0	321302
20351380	0	320402
729238000000	0	470205
4973010000000	0	720501
20454418	0	300414
9556090000000	0	100205
20454432	0	300417
20454340	0	300410
4903310000000	0	110136
20564889	0	320402
40000142393	0	100102
4719770000000	0	510539
20401351	0	501002
20494421	0	760522
20546465	0	320201
79191001127	0	720507
4976560000000	0	500804
4714350000000	0	500806
37000329183	0	100312
4901080000000	0	530202
39047001138	0	100205
20521332	0	760553
20393113	0	520328
20451059	0	730312
70501856680	0	300709
4712250000000	0	100101
2160010000000	0	320501
4713430000000	0	720122
22000119605	0	100101
4714100000000	0	300418
20571887	0	560402
51325113340	0	100312
79763112275	0	110404
4715570000000	0	560329
748675000000	0	100302
2250060000000	0	501002
20392147	0	320501
49755589	0	100102
20508883	0	320501
4712590000000	0	730415
4961020000000	0	720402
8712000000000	0	100516
4711480000000	0	100305
2109000000000	0	760208
20493707	0	760214
20517786	0	760587
20522292	0	300115
4901480000000	0	760214
75609001659	0	300703
20457365	0	500319
4713900000000	0	530108
4955810000000	0	300604
28400017305	0	100217
20468187	0	540217
78895120301	0	110136
4972290000000	0	130306
20367114	0	110503
9318020000000	0	560402
9771030000000	0	760155
2250310000000	0	500806
20562670	0	714601
20550660	0	501001
20525644	0	540214
4715620000000	0	110509
79763111254	0	110404
20197889	0	500323
4716130000000	0	100507
4714780000000	0	100516
20513030	0	760549
4006770000000	0	500319
78895100020	0	110137
22000167637	0	100101
20562779	0	501131
20523152	0	320104
4715240000000	0	110202
4971610000000	0	500333
5010030000000	0	100205
25700010500	0	500311
20558475	0	320501
20561642	0	320501
20398590	0	520133
4891120000000	0	120305
31200440020	0	100503
3262850000000	0	100516
4713300000000	0	520120
20459727	0	520309
31200440006	0	100503
20571023	0	130317
20566401	0	300107
20565572	0	760702
20565589	0	760702
20557782	0	760702
20533755	0	321302
20445997	0	321302
4711450000000	0	100411
4893670000000	0	530602
20333225	0	130206
20563783	0	320507
20506476	0	320401
20563790	0	320501
20180584	0	320503
20392093	0	320404
41186001559	0	100102
20090562	0	760210
37000067399	0	500203
4979010000000	0	300709
20351366	0	320402
20558468	0	320501
20564711	0	590522
4906040000000	0	100307
9300670000000	0	110126
20470692	0	500901
20453114	0	500901
15000049317	0	560401
2200060000000	0	560401
723126000000	0	100218
3252550000000	0	300712
15000049188	0	560401
47400130708	0	300802
79191000724	0	720507
26333004447	0	500807
10742201719	0	300716
20356798	0	300418
2270100000000	0	540212
4716460000000	0	100516
20570989	0	130317
20510091	0	760586
795679000000	0	720515
20564537	0	740805
20358938	0	730312
70450020958	0	100301
4971770000000	0	500407
20559106	0	540309
20507046	0	320101
3600620000000	0	520425
4715030000000	0	730304
20401795	0	760166
2240120000000	0	730703
29000070295	0	100210
4711850000000	0	120108
8850570000000	0	110707
79763111339	0	110404
78895400014	0	110136
66592001450	0	110514
20515485	0	500509
20459888	0	520310
20512989	0	760553
20530631	0	110602
4717210000000	0	720402
20571313	0	140803
4011800000000	0	110511
51325112510	0	100312
4713130000000	0	130208
20571061	0	130317
20086169	0	760586
4718440000000	0	760524
20529086	0	760226
20494520	0	760548
20524722	0	760516
70501013007	0	300709
20203689	0	110407
20419905	0	760402
20086206	0	760518
74570334179	0	120302
74570334117	0	120302
5000310000000	0	100432
4972530000000	0	300201
26333009718	0	500804
20515287	0	520314
20000112824	0	110505
20457891	0	321101
4002400000000	0	510538
26333009794	0	500804
26333005345	0	500806
4710610000000	0	120305
20540142	0	320501
20343644	0	320402
20519353	0	320108
4716370000000	0	510411
20341091	0	320507
20470180	0	320402
4901220000000	0	530211
20566555	0	320506
20566548	0	320506
4978960000000	0	720305
20370688	0	540209
50000108213	0	100402
20529277	0	760211
795192000000	0	760583
2220120000000	0	590311
8802780000000	0	100515
20540296	0	590601
8804110000000	0	100322
20557775	0	720507
20541286	0	720505
4716360000000	0	560111
40508383021	0	760702
20505233	0	520144
20513429	0	760586
20411527	0	500544
20529031	0	760205
20529383	0	760221
20537531	0	720226
20566395	0	300115
4717060000000	0	130302
71240003212	0	500804
76277105625	0	110810
20514839	0	510101
20511234	0	730708
20571429	0	520473
20570910	0	130317
20570620	0	510104
20123857	0	760653
20325770	0	760562
20558536	0	540206
20494933	0	540206
20165918	0	590504
70501058008	0	530116
4975760000000	0	720509
4714760000000	0	520437
20544553	0	540107
4892220000000	0	130111
20424718	0	540103
4961370000000	0	540112
4905660000000	0	540110
20495749	0	500501
2240040000000	0	510105
4006670000000	0	500206
4902420000000	0	530209
20461416	0	320202
4712570000000	0	510529
20493653	0	760583
10742206615	0	300716
